Date,Visitor/Neutral,Home/Neutral
Tue Oct 22 2019,Los Angeles Lakers,Los Angeles Clippers
Tue Oct 22 2019,New Orleans Pelicans,Toronto Raptors
Wed Oct 23 2019,Minnesota Timberwolves,Brooklyn Nets
Wed Oct 23 2019,Chicago Bulls,Charlotte Hornets
Wed Oct 23 2019,Washington Wizards,Dallas Mavericks
Wed Oct 23 2019,Detroit Pistons,Indiana Pacers
Wed Oct 23 2019,Memphis Grizzlies,Miami Heat
Wed Oct 23 2019,Cleveland Cavaliers,Orlando Magic
Wed Oct 23 2019,Boston Celtics,Philadelphia 76ers
Wed Oct 23 2019,Sacramento Kings,Phoenix Suns
Wed Oct 23 2019,Denver Nuggets,Portland Trail Blazers
Wed Oct 23 2019,New York Knicks,San Antonio Spurs
Wed Oct 23 2019,Oklahoma City Thunder,Utah Jazz
Thu Oct 24 2019,Atlanta Hawks,Detroit Pistons
Thu Oct 24 2019,Los Angeles Clippers,Golden State Warriors
Thu Oct 24 2019,Milwaukee Bucks,Houston Rockets
Fri Oct 25 2019,Toronto Raptors,Boston Celtics
Fri Oct 25 2019,New York Knicks,Brooklyn Nets
Fri Oct 25 2019,Minnesota Timberwolves,Charlotte Hornets
Fri Oct 25 2019,Phoenix Suns,Denver Nuggets
Fri Oct 25 2019,Utah Jazz,Los Angeles Lakers
Fri Oct 25 2019,Chicago Bulls,Memphis Grizzlies
Fri Oct 25 2019,Dallas Mavericks,New Orleans Pelicans
Fri Oct 25 2019,Washington Wizards,Oklahoma City Thunder
Fri Oct 25 2019,Portland Trail Blazers,Sacramento Kings
Sat Oct 26 2019,Orlando Magic,Atlanta Hawks
Sat Oct 26 2019,Toronto Raptors,Chicago Bulls
Sat Oct 26 2019,Indiana Pacers,Cleveland Cavaliers
Sat Oct 26 2019,Philadelphia 76ers,Detroit Pistons
Sat Oct 26 2019,New Orleans Pelicans,Houston Rockets
Sat Oct 26 2019,Miami Heat,Milwaukee Bucks
Sat Oct 26 2019,Boston Celtics,New York Knicks
Sat Oct 26 2019,Los Angeles Clippers,Phoenix Suns
Sat Oct 26 2019,Washington Wizards,San Antonio Spurs
Sat Oct 26 2019,Sacramento Kings,Utah Jazz
Sun Oct 27 2019,Portland Trail Blazers,Dallas Mavericks
Sun Oct 27 2019,Charlotte Hornets,Los Angeles Lakers
Sun Oct 27 2019,Brooklyn Nets,Memphis Grizzlies
Sun Oct 27 2019,Miami Heat,Minnesota Timberwolves
Sun Oct 27 2019,Golden State Warriors,Oklahoma City Thunder
Mon Oct 28 2019,Philadelphia 76ers,Atlanta Hawks
Mon Oct 28 2019,Indiana Pacers,Detroit Pistons
Mon Oct 28 2019,Oklahoma City Thunder,Houston Rockets
Mon Oct 28 2019,Charlotte Hornets,Los Angeles Clippers
Mon Oct 28 2019,Cleveland Cavaliers,Milwaukee Bucks
Mon Oct 28 2019,Golden State Warriors,New Orleans Pelicans
Mon Oct 28 2019,Chicago Bulls,New York Knicks
Mon Oct 28 2019,Utah Jazz,Phoenix Suns
Mon Oct 28 2019,Denver Nuggets,Sacramento Kings
Mon Oct 28 2019,Portland Trail Blazers,San Antonio Spurs
Mon Oct 28 2019,Orlando Magic,Toronto Raptors
Tue Oct 29 2019,Dallas Mavericks,Denver Nuggets
Tue Oct 29 2019,Memphis Grizzlies,Los Angeles Lakers
Tue Oct 29 2019,Atlanta Hawks,Miami Heat
Wed Oct 30 2019,Milwaukee Bucks,Boston Celtics
Wed Oct 30 2019,Indiana Pacers,Brooklyn Nets
Wed Oct 30 2019,Chicago Bulls,Cleveland Cavaliers
Wed Oct 30 2019,Phoenix Suns,Golden State Warriors
Wed Oct 30 2019,Portland Trail Blazers,Oklahoma City Thunder
Wed Oct 30 2019,New York Knicks,Orlando Magic
Wed Oct 30 2019,Minnesota Timberwolves,Philadelphia 76ers
Wed Oct 30 2019,Charlotte Hornets,Sacramento Kings
Wed Oct 30 2019,Detroit Pistons,Toronto Raptors
Wed Oct 30 2019,Los Angeles Clippers,Utah Jazz
Wed Oct 30 2019,Houston Rockets,Washington Wizards
Thu Oct 31 2019,Miami Heat,Atlanta Hawks
Thu Oct 31 2019,San Antonio Spurs,Los Angeles Clippers
Thu Oct 31 2019,Denver Nuggets,New Orleans Pelicans
Fri Nov 1 2019,New York Knicks,Boston Celtics
Fri Nov 1 2019,Houston Rockets,Brooklyn Nets
Fri Nov 1 2019,Detroit Pistons,Chicago Bulls
Fri Nov 1 2019,Los Angeles Lakers,Dallas Mavericks
Fri Nov 1 2019,San Antonio Spurs,Golden State Warriors
Fri Nov 1 2019,Cleveland Cavaliers,Indiana Pacers
Fri Nov 1 2019,Milwaukee Bucks,Orlando Magic
Fri Nov 1 2019,Utah Jazz,Sacramento Kings
Sat Nov 2 2019,Brooklyn Nets,Detroit Pistons
Sat Nov 2 2019,Charlotte Hornets,Golden State Warriors
Sat Nov 2 2019,Phoenix Suns,Memphis Grizzlies
Sat Nov 2 2019,Toronto Raptors,Milwaukee Bucks
Sat Nov 2 2019,New Orleans Pelicans,Oklahoma City Thunder
Sat Nov 2 2019,Denver Nuggets,Orlando Magic
Sat Nov 2 2019,Philadelphia 76ers,Portland Trail Blazers
Sat Nov 2 2019,Minnesota Timberwolves,Washington Wizards
Sun Nov 3 2019,Dallas Mavericks,Cleveland Cavaliers
Sun Nov 3 2019,Chicago Bulls,Indiana Pacers
Sun Nov 3 2019,Utah Jazz,Los Angeles Clippers
Sun Nov 3 2019,Houston Rockets,Miami Heat
Sun Nov 3 2019,Sacramento Kings,New York Knicks
Sun Nov 3 2019,Los Angeles Lakers,San Antonio Spurs
Mon Nov 4 2019,New Orleans Pelicans,Brooklyn Nets
Mon Nov 4 2019,Portland Trail Blazers,Golden State Warriors
Mon Nov 4 2019,Houston Rockets,Memphis Grizzlies
Mon Nov 4 2019,Milwaukee Bucks,Minnesota Timberwolves
Mon Nov 4 2019,Philadelphia 76ers,Phoenix Suns
Mon Nov 4 2019,Detroit Pistons,Washington Wizards
Tue Nov 5 2019,San Antonio Spurs,Atlanta Hawks
Tue Nov 5 2019,Los Angeles Lakers,Chicago Bulls
Tue Nov 5 2019,Indiana Pacers,Charlotte Hornets
Tue Nov 5 2019,Boston Celtics,Cleveland Cavaliers
Tue Nov 5 2019,Miami Heat,Denver Nuggets
Tue Nov 5 2019,Orlando Magic,Oklahoma City Thunder
Wed Nov 6 2019,Chicago Bulls,Atlanta Hawks
Wed Nov 6 2019,Orlando Magic,Dallas Mavericks
Wed Nov 6 2019,New York Knicks,Detroit Pistons
Wed Nov 6 2019,Golden State Warriors,Houston Rockets
Wed Nov 6 2019,Washington Wizards,Indiana Pacers
Wed Nov 6 2019,Milwaukee Bucks,Los Angeles Clippers
Wed Nov 6 2019,Minnesota Timberwolves,Memphis Grizzlies
Wed Nov 6 2019,Sacramento Kings,Toronto Raptors
Wed Nov 6 2019,Philadelphia 76ers,Utah Jazz
Thu Nov 7 2019,Boston Celtics,Charlotte Hornets
Thu Nov 7 2019,Portland Trail Blazers,Los Angeles Clippers
Thu Nov 7 2019,Miami Heat,Phoenix Suns
Thu Nov 7 2019,Oklahoma City Thunder,San Antonio Spurs
Fri Nov 8 2019,Sacramento Kings,Atlanta Hawks
Fri Nov 8 2019,New York Knicks,Dallas Mavericks
Fri Nov 8 2019,Philadelphia 76ers,Denver Nuggets
Fri Nov 8 2019,Detroit Pistons,Indiana Pacers
Fri Nov 8 2019,Miami Heat,Los Angeles Lakers
Fri Nov 8 2019,Golden State Warriors,Minnesota Timberwolves
Fri Nov 8 2019,Toronto Raptors,New Orleans Pelicans
Fri Nov 8 2019,Memphis Grizzlies,Orlando Magic
Fri Nov 8 2019,Brooklyn Nets,Portland Trail Blazers
Fri Nov 8 2019,Milwaukee Bucks,Utah Jazz
Fri Nov 8 2019,Cleveland Cavaliers,Washington Wizards
Sat Nov 9 2019,Houston Rockets,Chicago Bulls
Sat Nov 9 2019,New Orleans Pelicans,Charlotte Hornets
Sat Nov 9 2019,Dallas Mavericks,Memphis Grizzlies
Sat Nov 9 2019,Golden State Warriors,Oklahoma City Thunder
Sat Nov 9 2019,Boston Celtics,San Antonio Spurs
Sun Nov 10 2019,Toronto Raptors,Los Angeles Lakers
Sun Nov 10 2019,Denver Nuggets,Minnesota Timberwolves
Sun Nov 10 2019,Cleveland Cavaliers,New York Knicks
Sun Nov 10 2019,Milwaukee Bucks,Oklahoma City Thunder
Sun Nov 10 2019,Indiana Pacers,Orlando Magic
Sun Nov 10 2019,Charlotte Hornets,Philadelphia 76ers
Sun Nov 10 2019,Brooklyn Nets,Phoenix Suns
Sun Nov 10 2019,Atlanta Hawks,Portland Trail Blazers
Mon Nov 11 2019,Dallas Mavericks,Boston Celtics
Mon Nov 11 2019,Minnesota Timberwolves,Detroit Pistons
