"id","first_name","last_name","position","height_feet","height_inches","weight_pounds","team_id","updated_at","created_at","public_id"
2349,"Victor","Alexander","",NULL,NULL,NULL,1610612744,"2019-01-12 12:37:31.386497-08","2019-01-12 12:37:31.386497-08",663
1821,"Mark","Randall","",NULL,NULL,NULL,1610612741,"2019-01-12 12:37:32.361796-08","2019-01-12 12:37:32.361796-08",664
78523,"Mitchell","Wiggins","",NULL,NULL,NULL,1610612755,"2019-01-12 12:37:32.361796-08","2019-01-12 12:37:32.361796-08",665
77493,"Tharon","Mayes","",NULL,NULL,NULL,1610612755,"2019-01-12 12:37:32.361796-08","2019-01-12 12:37:32.361796-08",666
78316,"Charles","Thomas","",NULL,NULL,NULL,1610612765,"2019-01-12 12:37:32.719391-08","2019-01-12 12:37:32.719391-08",667
123,"Robert","Pack","",NULL,NULL,NULL,1610612757,"2019-01-12 12:37:32.920022-08","2019-01-12 12:37:32.920022-08",668
76082,"John","Bagley","",NULL,NULL,NULL,1610612738,"2019-01-12 12:37:33.400738-08","2019-01-12 12:37:33.400738-08",669
296,"Rick","Fox","",NULL,NULL,NULL,1610612738,"2019-01-12 12:37:33.400738-08","2019-01-12 12:37:33.400738-08",670
913,"Larry","Johnson","",NULL,NULL,NULL,1610612766,"2019-01-12 12:37:33.400738-08","2019-01-12 12:37:33.400738-08",671
78421,"Alexander","Volkov","",NULL,NULL,NULL,1610612737,"2019-01-12 12:37:33.527663-08","2019-01-12 12:37:33.527663-08",672
278,"Stacey","Augmon","",NULL,NULL,NULL,1610612737,"2019-01-12 12:37:33.527663-08","2019-01-12 12:37:33.527663-08",673
1063,"Carl","Thomas","",NULL,NULL,NULL,1610612758,"2019-01-12 12:37:33.785477-08","2019-01-12 12:37:33.785477-08",674
120,"Steven","Smith","",NULL,NULL,NULL,1610612748,"2019-01-12 12:37:34.099891-08","2019-01-12 12:37:34.099891-08",675
914,"Stanley","Roberts","",NULL,NULL,NULL,1610612753,"2019-01-12 12:47:50.055166-08","2019-01-12 12:47:50.055166-08",676
77358,"Doug","Lee","",NULL,NULL,NULL,1610612751,"2019-01-12 12:47:51.272621-08","2019-01-12 12:47:51.272621-08",677
912,"Rafael","Addison","",NULL,NULL,NULL,1610612751,"2019-01-12 12:47:51.272621-08","2019-01-12 12:47:51.272621-08",678
76875,"Sean","Green","",NULL,NULL,NULL,1610612754,"2019-01-12 12:47:51.731312-08","2019-01-12 12:47:51.731312-08",679
